id,address,lat,lng,location,name,subCategory,popularity,numReviews
73,Place d'Estienne d'Orves,48.87722676,2.33142972,Paris,eglise de la Trinite,Church,4,4
74,19 rue Cortambert,48.86208289,2.280209663,Paris,eglise Reformee de Passy Annonciation,Church,0,0
75,14 Rue Gerbert,48.839521,2.298396,Paris,eglise Saint-Lambert de Vaugirard,Church,5,1
76,154 Rue du Faubourg Saint-Honore,48.87325403,2.310519218,Paris,eglise Saint-Philippe du Roule,Church,5,1
77,82 avenue du General Leclerc,48.82874916,2.327041626,Paris,eglise Saint-Pierre-de-Montrouge,Church,8,2
78,92 rue Saint-Dominique,48.859596,2.305203,Paris,eglise Saint-Pierre-du-Gros-Caillou,Church,0,0
79,93 rue de Crimee,48.883178,2.382046284,Paris,eglise Saint-Serge,Church,5,2
80,8 Avenue Cesar Caire,48.87609072,2.318978906,Paris,eglise Saint-Augustin,Church,5,2
81,2 avenue Stephane Mallarme,48.887051,2.293184,Paris,eglise Sainte-Odile,Church,0,0
82,7 Place du President Mithouard,48.85078063,2.313737869,Paris,eglise Saint-Franeois Xavier,Church,5,4
83,66 avenue Raymond Poincare,48.868404,2.285839529,Paris,eglise Saint-Honore d'Eylau,Church,10,1
84,2 rue du Mont-Cenis,48.886707,2.342,Paris,eglise Saint-Pierre de Montmartre,Church,5,1
85,68 rue de Turenne,48.859996,2.364882,Paris,eglise Saint-Denis-du-Saint-Sacrement,Church,7,3
86,4 rue du Conservatoire,48.87310279,2.347217435,Paris,eglise Saint Eugene - Sainte Cecile,Spiritual Center,10,1
87,139 rue de Bellevile,48.875574,2.38934,Paris,eglise Saint Jean-Baptiste de Belleville,Church,5,2
88,Place etienne Pernet,48.843198,2.292581,Paris,eglise Saint-Jean-Baptiste de Grenelle,Church,0,0
89,Place du Docteur Felix Lobligeois,48.886797,2.317879,Paris,eglise Sainte-Marie des Batignolles,Church,5,3
90,9 rue Mederic,48.88053993,2.303026539,Paris,Eglise Suedoise (Svenska Kirkan),Church,0,1
91,Rue Notre-Dame de Lorette,48.87636591,2.338886261,Paris,eglise Notre-Dame de Lorette,Church,6,9
92,29 Rue de Babylone,48.851204,2.320547,Paris,Jardin Catherine Laboure,Garden,6,6
93,211 Avenue Jean Jaures,48.89095602,2.390760183,Paris,Grande Halle de la Villette,Event Space,3,14
94,2 Route de la Ferme,48.82147383,2.451109886,Paris,Hippodrome de Vincennes,Racetrack,1,5
95,Parc de la Villette,48.89063191,2.390076131,Paris,Pavillon Paul Delouvrier,Art Gallery,10,1
96,15 Rue Notre Dame de Nazareth,48.867003,2.359985,Paris,Synagogue Notre-Dame-de-Nazareth,Synagogue,0,0
97,18 boulevard Arago,48.8358971,2.3490356,Paris,eglise Reformee Port-Royal,Spiritual Center,5,1
98,ezle aux Cygnes,48.85277146,2.283568382,Paris,ezle aux Cygnes,Island,5,10
99,Place de Rungis,48.8226173,2.347456675,Paris,Place de Rungis,Plaza,5,2
100,Place d'Anvers,48.88217283,2.344465256,Paris,Square d'Anvers,Garden,5,6
101,Place Jeanne d'Arc,48.83013348,2.367854118,Paris,Place Jeanne d'Arc,Plaza,5,1
102,Place de la Reunion,48.85574343,2.401006222,Paris,Place de la Reunion,Plaza,5,2
103,5 Rue de Thorigny,48.8595058,2.362082005,Paris,Musee National Picasso,Art Museum,5,12
104,6 Place d'Iena,48.86533585,2.293567657,Paris,Musee Guimet (Musee National des Arts Asiatiques),Museum,5,18
105,7 rond-point des Champs-elysees,48.86861407,2.308840156,Paris,Artcurial,Art Gallery,6,14
106,2 Impasse Lebouis,48.83688652,2.322004938,Paris,Fondation Henri Cartier-Bresson,Art Museum,4,14
107,6 Place Paul Painleve,48.85038603,2.344121355,Paris,Musee National du Moyen-ege,History Museum,4,32
108,Palais de Chaillot,48.86286557,2.2889328,Paris,Cite de l'Architecture et du Patrimoine,Museum,6,22
109,33 Cour Saint-Emilion,48.83314211,2.386522293,Paris,Chai 33,Wine Bar,4,35
110,5 Port de la Repee,48.84237875,2.370729446,Paris,Cafe Barge,Lounge,8,8
111,37 bis boulevard de la Chapelle,48.88418613,2.359398026,Paris,Les Bouffes du Nord,Theater,5,1
112,16 Rue de Clichy,48.8791742,2.329278588,Paris,Casino de Paris,Comedy Club,6,19
113,8 Boulevard de Bercy,48.83867865,2.378475666,Paris,Palais Omnisports de Paris-Bercy,Music Venue,6,46
114,50 Boulevard Voltaire,48.86329191,2.370839508,Paris,Le Bataclan,Concert Hall,5,24
115,116 bis avenue des Champs-elysees,48.87216006,2.300820469,Paris,Lido de Paris,Strip Club,5,31
116,7 Place de la Rotonde,48.8622868,2.344594002,Paris,UGC Cine Cite Les Halles,Multiplex,5,55
117,28 Boulevard des Capucines,48.87016665,2.32847929,Paris,L'Olympia,Concert Hall,4,19
118,44 boulevard de Bonne Nouvelle,48.8706062,2.348824559,Paris,Theetre du Gymnase,Theater,6,13
119,Porte Doree,48.83223048,2.406928552,Paris,Pelouse de Reuilly,Park,8,4
120,66 Avenue des Gobelins,48.83294837,2.354362358,Paris,UGC Gobelins,Multiplex,4,22
121,210  rue de Belleville,48.87490951,2.395255385,Paris,Studio Le Regard du Cygne,Concert Hall,0,0
122,21 Rue Antoine-Julien Henard,48.84262818,2.389682268,Paris,Espace Reuilly,Concert Hall,5,1
123,5 rue Biot,48.88387288,2.326727696,Paris,L'Europeen,Music Venue,6,9
124,80 Boulevard de Rochechouart,48.882921,2.342936,Paris,Le Trianon,Concert Hall,6,33
125,106 rue Brancion,48.83070524,2.300391515,Paris,Le Monfort Theetre,Theater,4,5
126,17 Boulevard Jourdan,48.81911442,2.338328362,Paris,Theetre de la Cite Internationale,Theater,10,1
127,30 Avenue Corentin Cariou,48.89410912,2.393131256,Paris,Le Zenith,Concert Hall,5,31
128,20 rue Theodore Deck,48.83714585,2.289043045,Paris,Le Theo-Theatre,Theater,3,2
129,1 Place de la Porte de Versailles,48.8330942,2.286328521,Paris,Palais des Sports,Comedy Club,7,3
130,119 Avenue Daumesnil,48.84459209,2.382780614,Paris,Viaduc des Arts,Bridge,2,5
131,17 avenue d'Iena,48.86617307,2.294457934,Paris,Goethe Institut,Arts & Entertainment,8,2
132,98 Quai de la Rapee,48.84606445,2.367510796,Paris,Salons Vianey,Cocktail Bar,5,1
133,53 avenue Terroirs de France,48.832773,2.389042,Paris,Pavillons de Bercy,General Entertainment,0,0
134,23 rue du Simplon,48.89436136,2.349901198,Paris,eglise Orthodoxe Serbe,Church,0,1
135,7 Avenue Paul Appell,48.82136721,2.327362464,Paris,Centre Sportif Elisabeth,Soccer Field,5,1
136,9 Rue Saint Bruno,48.885295,2.356213,Paris,Salle Saint Bruno,Church,0,0
137,21 quai Franeois Mauriac,48.83616652,2.375654125,Paris,Piscine Josephine Baker,Pool,6,21
138,"16, rue des Dames",48.885085,2.325222,Paris,Lush Bar,Bar,5,5
139,110 Boulevard de Clichy,48.88444462,2.330646515,Paris,Corcoran's,Pub,6,19
140,163 avenue de Suffren,48.84576496,2.309809489,Paris,Le Cristal,Bar,3,14
141,13 quai des Grands Augustins,48.8540715,2.343848,Paris,Galway,Pub,7,18
142,140 Rue du Bac,48.85090088,2.323566411,Paris,Chapelle Notre-Dame de la Medaille Miraculeuse,Church,4,9
143,80 Quai de Jemmapes,48.87257659,2.365665436,Paris,Le Comptoir General,Bar,5,66
144,74 rue de la Roquette,48.85590294,2.375286235,Paris,Les Furieux,Bar,4,18
145,8 Boulevard Montmartre,48.87161579,2.342379081,Paris,Cafe Oz,Bar,5,30
146,Place Gambetta,48.86489915,2.398462147,Paris,Place Gambetta,Plaza,5,6
147,"40, Rue de Clignancourt",48.887048,2.347595931,Paris,La Chope du Cheteau Rouge,Bar,5,9
148,18 rue Alibert,48.87171802,2.367786518,Paris,Le Carillon,Bar,6,25
149,2 rue de Passy,48.858557,2.284398,Paris,Le Passy,Bar,7,20
150,15 rue de Sevigne,48.85635757,2.362575531,Paris,Le Piment,Bar,5,18
151,Place du Marche Saint-Honore,48.86729903,2.332107128,Paris,Place du Marche Saint-Honore,Plaza,4,20
152,Route des Lacs ePassy,48.857487,2.262282372,Paris,Piscine d'Auteuil,Pool,5,1
153,33 Rue de Montreuil,48.85049766,2.386467183,Paris,Patrick's,Sports Bar,6,11
154,10 rue de la Montagne Saint-Genevieve,48.849119,2.348657,Paris,La Lucha Libre,Sports Bar,6,10
155,49 rue Jean-Pierre Timbaud,48.86687442,2.373883724,Paris,UFO Bar,Bar,5,23
156,Place du Palais Royal,48.86254796,2.336751223,Paris,Place du Palais Royal,Plaza,5,11
157,11 Boulevard de Reuilly,48.839142,2.390645,Paris,Les Caves de Reuilly,Wine Bar,6,8
158,10 place de Mexico,48.86566682,2.282987373,Paris,Radisson Blu Le Metropolian Hotel,Hotel,5,12
159,146 Avenue des Champs-elysees,48.87309,2.298356,Paris,UGC George V,Multiplex,4,20
160,26 Pl. de la Nation,48.84738904,2.39676801,Paris,The Irish Corner,Bar,5,15
161,2 rue Valette,48.84812166,2.347131177,Paris,Le Saint Hilaire,Bar,5,8
162,Place des Abbesses,48.88440581,2.338537574,Paris,Place des Abbesses,Plaza,7,13
163,32 rue des Moines,48.889029,2.319552,Paris,Le Zinc Cafe,Bar,4,9
164,42 Rue du Montparnasse,48.842784,2.326128,Paris,Falstaff,Pub,6,21
165,37 Rue des Abbesses,48.885113,2.337205,Paris,Le Vrai Paris,Bar,4,18
166,Pelouse de reuilly,48.83109046,2.405704777,Paris,Cirque Pinder,Theme Park,0,1
167,34 Rue Titon,48.852908,2.386238,Paris,Cafe Titon,Bar,4,21
168,Porte Molitor,48.84525955,2.254686356,Paris,Piscine Molitor,Gym Pool,5,3
169,37 Rue Saint-Sauveur,48.86610058,2.348338804,Paris,Experimental Cocktail Club,Cocktail Bar,6,56
170,99 Boulevard Saint-Germain,48.85225357,2.339078033,Paris,UGC Danton,Movie Theater,5,10
171,10 Rue Oberkampf,48.86313121,2.368489634,Paris,Le Kitch,Bar,5,25
172,1 Boulevard Montmartre,48.87141927,2.342877388,Paris,O'Sullivans cafe bar,Pub,5,31
173,16 rue des Bernardins,48.85039434,2.35074358,Paris,Curio Parlor,Cocktail Bar,7,41
174,188 Rue de Rivoli,48.86353703,2.332983307,Paris,VIP Room,Nightclub,5,41
175,23 rue Mazarine,48.85480582,2.337904278,Paris,Prescription Cocktail Club,Cocktail Bar,6,75
176,14 rue Achille Martinet,48.89217188,2.337433585,Paris,Squash Montmartre,Stadium,8,2
177,15 Rue des Archives,48.85815584,2.354915722,Paris,Le Cox,Gay Bar,6,7
178,Avenue du Polygone,48.834682,2.432044413,Paris,Centre equestre Bayard-UCPA,Other Great Outdoors,10,1
179,23 Avenue Simen Bolevar,48.8748812,2.382555,Paris,Le Faitout,Bar,4,6
180,Place des Abbesses,48.88476795,2.337904806,Paris,Le Saint Jean,Bar,5,11
181,120 Boulevard de Rochechouart,48.88226871,2.340214105,Paris,La Cigale,Music Venue,5,33
182,Place Charles de Gaulle,48.87379033,2.295005322,Paris,Place de l’etoile,Plaza,4,13
183,8 Passage Josset,48.85272923,2.376501284,Paris,Le Motel,Bar,5,26
184,Place de Breteuil,48.84727884,2.311581373,Paris,Place de Breteuil,Plaza,10,1
185,72 rue Falguiere,48.84037614,2.312943935,Paris,Le Breguet,Pub,7,3
186,8 Quai Saint-Exupery,48.83739343,2.264213562,Paris,Au Trinquet,Beer Garden,6,17
187,"133, Avenue Emile-Zola",48.846856,2.293631,Paris,Le Cosmos,Bar,6,11
188,13eme Arrondissement,48.82534093,2.35506764,Paris,13eme Arrondissement,Neighborhood,5,1
189,23 rue du Temple,48.8587717,2.353541851,Paris,Raidd Bar,Gay Bar,5,19
190,23 bis Rue Las Cases,48.85857406,2.319359779,Paris,Basilique Sainte-Clotilde,Church,4,6
191,116 Avenue du President Kennedy,48.85252437,2.27824688,Paris,Maison de Radio France,Radio Station,4,10
192,6eme Arrondissement,48.85093594,2.324295044,Paris,6eme Arrondissement,Neighborhood,10,1
193,25 Rue de Mogador,48.87529336,2.331172228,Paris,Theetre Mogador,Theater,7,15
194,Porte de Pantin,48.8893545,2.392295102,Paris,La Villette,Neighborhood,5,1
195,"40, rue Jean de La Fontaine",48.852189,2.270246,Paris,Apprentis d'Auteuil - Siege social,Office,5,1
196,81 Avenue Gambetta,48.865041,2.398658,Paris,Cafe Gambetta,Bar,6,8
197,16 rue de la Butte-aux-Cailles,48.82790625,2.351100092,Paris,Sputnik,Bar,6,10
198,88 Rue de Menilmontant,48.86876308,2.391759,Paris,La Miroiterie,Performing Arts Venue,5,7
199,126 rue Oberkampf,48.866327,2.379881,Paris,Le styx,Bar,3,6
200,Rue Francoeur,48.889758,2.342694,Paris,Cafe Francoeur,Cocktail Bar,6,31
201,Place Saint-Fargeau,48.87161686,2.404139042,Paris,Place Saint-Fargeau,Plaza,3,2
202,15 rue de la Butte aux Cailles,48.827721,2.349955,Paris,Chez Michel,Bar,3,3
203,2 Impasse Saint-Eustache,48.86346551,2.345071435,Paris,eglise Saint-Eustache,Church,5,19
204,57 bis rue de Babylone,48.851786,2.316447,Paris,Etoile Pagode,Indie Movie Theater,7,16
205,Place des Victoires,48.86574167,2.341160774,Paris,Place des Victoires,Plaza,3,8
206,"25, rue Corentin Cariou",48.897014,2.384871,Paris,Les pierres qui roulent,Bar,7,3
207,21 quai de Montebello,48.85228969,2.348163003,Paris,Cafe Panis,Bar,5,16
208,32 Avenue des Champs-elysees,48.86978046,2.308131275,Paris,Unisex,Cocktail Bar,4,31
209,3 Place Saint Michel,48.853412,2.34427,Paris,Saint Severin,Lounge,4,23
210,46 rue du Faubourg Saint-Denis,48.87156,2.353579,Paris,Le Mauri'7,Bar,7,5
211,153 rue du Chevaleret,48.832583,2.371197,Paris,Shannon River,Pub,7,3
212,53 Rue du Faubourg Saint-Antoine,48.85212198,2.372617722,Paris,Corcoran's,Pub,3,10
213,Place de Clichy,48.8834569,2.327342033,Paris,Place de Clichy,Plaza,3,15
214,1 Place Colette,48.86348719,2.335648625,Paris,La Comedie-Franeaise,Theater,5,13
215,Cour de Rome,48.87558267,2.324273586,Paris,Cour de Rome,Plaza,3,4
216,7 Rue Sainte-Croix de la Bretonnerie,48.857956,2.356663,Paris,La Panfoulia,Bar,6,20
217,Place de la Republique,48.86738256,2.363927364,Paris,Place de la Republique,Plaza,6,28
218,Rue Denoyez,48.87207822,2.378390359,Paris,Street Art - Rue Denoyez,Public Art,4,6
219,27 Rue de Cotte,48.850129,2.378135,Paris,Le Troll Cafe,Bar,3,12
220,74 Rue des Martyrs,48.88215872,2.339529991,Paris,La Fourmi,Bar,5,31
221,59 boulevard de Montparnasse,48.84392022,2.323171304,Paris,La Marine,Bar,4,10
222,60 Rue de Bassano,48.8716592,2.300391197,Paris,Espace Culturel Louis Vuitton,Art Gallery,6,13
223,88 rue Lepic,48.8873343,2.336192,Paris,Autour du Moulin,Bar,5,7
224,48 rue Baron Le Roy,48.83397146,2.388837224,Paris,Ecole du vin,Wine Bar,10,2
225,4 Boulevard Malesherbes,48.87054421,2.323436737,Paris,Le Forvm,Cocktail Bar,6,34
226,Pl. Octave Chanute,48.866521,2.406241,Paris,Le Country Bar,Bar,5,1
227,13 rue de la Butte aux Cailles,48.82772173,2.350179,Paris,La Taverne de la Butte,Bar,3,8
228,6 rue Hermann Lachapelle,48.8943618,2.349413473,Paris,Piscine des Amiraux,Pool,5,3
229,32 rue Edouard Pailleron,48.88096169,2.377735338,Paris,Piscine Edouard Pailleron,Pool,5,11
230,61 rue Reaumur,48.86675835,2.350961,Paris,Cafe Lazar,Bar,5,11
231,"11, boulevard du Port-Royal",48.83702797,2.349776003,Paris,L'Escurial,Indie Movie Theater,0,0
232,21 Avenue de l'observatoire,48.83632,2.3365,Paris,Observatoire de Paris,Planetarium,0,0
233,307 Rue du Faubourg Saint-Antoine,48.8489099,2.392714441,Paris,Extra Old Cafe,Bar,5,22
234,168 Boulevard Diderot,48.84785425,2.392766476,Paris,La Mere Pouchet,Bar,5,11
235,Route Ronde des Minimes,48.83644716,2.456817627,Paris,Lac des Minimes,Lake,5,2
236,23 rue des Bernardins,48.849162,2.350288,Paris,eglise Saint-Nicolas du Chardonnet,Church,8,2
237,Bois de Vincennes,48.82227273,2.444679494,Paris,Ferme Georges-Ville - Ferme de Paris,Farm,10,1
238,2-16 rue des Cevennes,48.8441667,2.276411337,Paris,Studios Rive Gauche,Auditorium,5,1
239,Pyramide,48.8338582,2.441168645,Paris,Faluere Paris Tennis,Tennis,8,3
240,1 Rue Ramey,48.88695315,2.3476779,Paris,Au Clair de Lune,Bar,7,11
241,149 boulevard Voltaire,48.85546813,2.384269238,Paris,Cafe Leopard,Bar,6,27
242,103 rue Julien Lacroix,48.87305085,2.381976415,Paris,Culture Rapide,Bar,3,7
243,11 avenue du Tremblay,48.83219973,2.452801847,Paris,"INSEP - Institut National Du Sport, De L'Expertise Et De La Performance",Athletics & Sports,0,0
244,Rue Daguerre,48.833801,2.330194,Paris,La Chope Daguerre,Brewery,6,9
245,184 rue Saint-Jacques,48.84618919,2.342984569,Paris,Wide Open Spaces Bar,Pub,8,11
246,11 Rue de la Butte aux Cailles,48.827778,2.350402,Paris,Le Merle Moqueur,Bar,6,12
247,108 boulevard de Belleville,48.87041718,2.378025055,Paris,La Cantine de Belleville,Bar,6,22
248,3 avenue des Gobelins,48.838371,2.350669,Paris,Verse Toujours,Bar,5,11
249,33 Avenue du Maine,48.84213867,2.322149277,Paris,Montparnasse 56,Scenic Lookout,5,22
250,Place Cambronne,48.84790014,2.301646471,Paris,Place Cambronne,Plaza,3,3
251,Quai de Valmy,48.87109465,2.36553669,Paris,Canal Saint-Martin,River,6,48
252,23 boulevard Poissonniere,48.87138903,2.344156996,Paris,Corcoran's,Pub,6,37
253,120 Rue de Lyon,48.851944,2.370556,Paris,Opera Bastille,Opera House,6,18
254,100 Rue Legendre,48.88752088,2.320303497,Paris,La Legende,Bar,4,4
255,75 avenue de Saint-Ouen,48.892475,2.327377,Paris,Le Bar belge,Bar,6,8
256,Rue de la Pompe,48.86272535,2.278470536,Paris,Rue de la Pompe,Other Great Outdoors,5,2
257,105 Rue Oberkampf,48.86586694,2.377523482,Paris,La Place Verte,Bar,5,33
258,79 rue de la Jonquiere,48.89429252,2.319359779,Paris,Piscine Bernard Lafay,Pool,3,6
259,103 Rue de Belleville,48.874492,2.386312932,Paris,Le Bariole,Bar,7,5
260,29 avenue Mac Mahon,48.87746674,2.294515037,Paris,Warner Chappell Music France,Office,3,2
261,Rue de la Goutte d'Or,48.88549533,2.354474025,Paris,La Goutte d'Or,Neighborhood,8,2
262,44 Rue Molitor,48.84533107,2.259994824,Paris,Paroisse Saint Franeois de Molitor,Church,0,0
263,30 rue des Batignolles,48.8849156,2.320373919,Paris,Au coeur des Batignolles,Park,0,0
264,134 Rue Marcadet,48.89132989,2.339379787,Paris,La Cave Cafe,Wine Bar,5,12
265,257 rue de Vaugirard,48.8399219,2.303186879,Paris,Novotel Paris Vaugirard Montparnasse,Hotel,6,9
266,11 Rue Payenne,48.85830335,2.361962158,Paris,Institut Suedois | Svenska Institutet i Paris,Art Museum,6,16
267,4bis Rue Neuve Popincourt,48.8644208,2.374090671,Paris,Udo Bar,Bar,5,24
