id,address,lat,lng,location,name,subCategory,popularity,numReviews
332,"7, rue des Moines",48.887812,2.318389,Paris,Le Manoir,Bar,6,12
333,12 Avenue George V,48.86569226,2.301405072,Paris,Crazy Horse,Strip Club,3,35
334,Place edith Piaf,48.86480651,2.40512073,Paris,Place edith Piaf,Plaza,3,3
335,10 place de la Republique,48.86737301,2.365101587,Paris,Crowne Plaza,Hotel,5,23
336,11 rue Lapeyrere,48.89220349,2.343002405,Paris,L'Alibi,Bar,6,10
337,20 Rue du Colonel Pierre Avia,48.83074087,2.276573181,Paris,Equinoxe - La Palmeraie,Nightclub,2,3
338,8 rue des rasselins,48.85377874,2.409621179,Paris,Studios LibertyRock,Music Venue,10,1
339,avenue Daumesnil,48.84624802,2.377381325,Paris,Avenue Daumesnil,Other Great Outdoors,5,1
340,Place de la Porte de Montreuil,48.85402804,2.413494587,Paris,Porte de Montreuil,Plaza,0,1
341,10 Rue de la Chaussee d'Antin,48.87161686,2.333564758,Paris,Murphy's House,Pub,4,10
342,Place du Commerce,48.84499125,2.292966843,Paris,Place du Commerce,Plaza,5,1
343,Route des Moulins,48.86671625,2.236697833,Paris,Polo de Paris,Athletics & Sports,6,4
344,18 passage des Saint-Simoniens,48.87049605,2.39649448,Paris,Square des Saint Simoniens,Park,10,1
345,48 rue Madame,48.84755041,2.33158565,Paris,Trinity Church,Church,5,1
346,17 Rue de Pontoise,48.84901875,2.351509851,Paris,Piscine Pontoise & Fitness,Pool,4,7
347,"76, avenue de la Grande Armee",48.877195,2.284592,Paris,La Terrasse Bar,Bar,6,13
348,129 avenue du General Leclerc,48.823174,2.325856,Paris,Paris Orleans,Bar,9,8
349,51 rue Lacepede,48.844419,2.349798,Paris,The Wall,Bar,5,20
350,34 Quai d'Austerlitz,48.84083942,2.370182276,Paris,Les Docks - Cite de la Mode et du Design,General Entertainment,6,15
351,Passerelle Solferino,48.86188096,2.324724197,Paris,Passerelle Leopold-Sedar-Senghor,Bridge,6,8
352,337 rue de Belleville,48.87684373,2.405264674,Paris,Le Rigoletto,Bar,9,2
353,81 Blvd. Gouvion Saint-Cyr,48.87947983,2.285585889,Paris,Jazz Club Etoile,Hotel Bar,8,9
354,South Pigalle,48.87977394,2.337083817,Paris,Quartier South Pigalle (SP),Neighborhood,3,2
355,3 rue Biot,48.88380805,2.326734231,Paris,Le Cyrano,Bar,6,16
356,"245, rue Lafayette",48.882381,2.369553,Paris,Peace & Love,Hostel,3,5
357,Place Vauban,48.85350564,2.312364578,Paris,Place Vauban,Plaza,8,3
358,6 avenue Marceau,48.86550523,2.299747467,Paris,Le Baron,Nightclub,6,37
359,Square Alboni,48.8577623,2.285585403,Paris,Square Alboni,Plaza,5,1
360,5 rue du Faubourg Saint-Antoine,48.8534606,2.370433868,Paris,Le Bastille,Movie Theater,5,15
361,"135, boulevard Brune",48.82462811,2.31452993,Paris,Paris Brune,Cafe,0,0
362,28 rue Buffault,48.87612,2.342393,Paris,Synagogue Buffault,Synagogue,0,2
363,57 Boulevard de Montmorency,48.85305384,2.256059647,Paris,Hippodrome d'Auteuil,Racetrack,5,1
364,17 rue Pajol,48.88592605,2.360932286,Paris,Temple de Ganesh,Temple,0,0
365,13 Rue Jean-Baptiste Dumay,48.87474737,2.387858704,Paris,La Cagnotte,Bar,5,11
366,Jardin d'Acclimatation,48.8759496,2.258741856,Paris,Mare Saint-James,Lake,8,2
367,2 Place Colette,48.86494061,2.337727547,Paris,Jardin du Palais Royal,Garden,7,29
368,Hyatt Regency Paris Etoile (33e etage),48.88001384,2.284383774,Paris,Bar La Vue,Hotel Bar,7,82
369,88 rue de la Croix Nivert,48.84371188,2.295897895,Paris,Celtic corner,Pub,5,7
370,Carrefour du Bout du Lac,48.86890695,2.2645998,Paris,Le Pavillon Royal,Nightclub,5,2
371,74 boulevard Diderot,48.84685569,2.381879769,Paris,Le Bistrologue,Bar,3,15
372,90 Boulevard de Clichy,48.88406011,2.332373857,Paris,La Machine du Moulin Rouge,Music Venue,3,27
373,Boulevard de Vaugirard,48.84088661,2.315982955,Paris,Blue Buoy,Cafe,8,2
